Date,Ticker,Open,High,Low,Close,Volume,Returns,Log_Returns
2022-09-13,SAB,81207.0,81915.0,79542.0,79542.0,164013,,-0.0207162663038154
2022-09-14,SAB,79125.0,79125.0,76627.0,76627.0,237755,,-0.037335688987096
2022-09-15,SAB,76835.0,78292.0,76210.0,77168.0,200047,,0.0070353682689445
2022-09-16,SAB,78667.0,78667.0,76210.0,77168.0,189344,,0.0
2022-09-19,SAB,77168.0,78084.0,77001.0,77168.0,147392,,0.0
2022-09-20,SAB,77459.0,78917.0,77376.0,78084.0,82345,,0.0118003069742312
2022-09-21,SAB,77251.0,78917.0,77126.0,78292.0,46777,,0.0026602563394301
2022-09-22,SAB,78875.0,78875.0,77376.0,77876.0,103014,,-0.0053276085236134
2022-09-23,SAB,78292.0,78292.0,77334.0,77876.0,140285,,0.0
2022-09-26,SAB,77459.0,78292.0,76627.0,77043.0,130861,,-0.0107541105749986
2022-09-27,SAB,77626.0,77626.0,76210.0,77168.0,90826,,0.0016211557849506
2022-09-28,SAB,76627.0,76960.0,72879.0,76210.0,78870,,-0.0124921756485899
2022-09-29,SAB,77293.0,77293.0,75169.0,76127.0,63454,,-0.0010896894150864
2022-09-30,SAB,74128.0,77668.0,74128.0,77043.0,95366,,0.0119607092787256
2022-10-03,SAB,75377.0,77459.0,75377.0,75877.0,77541,,-0.0152500993660712
2022-10-04,SAB,75877.0,78667.0,75877.0,78292.0,206502,,0.0313318184646832
2022-10-05,SAB,78959.0,79542.0,77918.0,78709.0,265145,,0.0053120805674101
2022-10-06,SAB,77126.0,77668.0,77043.0,77376.0,54259,,-0.0170808522153601
2022-10-07,SAB,76210.0,77876.0,76210.0,77876.0,178228,,0.0064411631243364
2022-10-10,SAB,77459.0,77501.0,75460.0,76835.0,211582,,-0.0134575526093681
2022-10-11,SAB,76418.0,77251.0,75835.0,76418.0,158429,,-0.0054419949903948
2022-10-12,SAB,78084.0,78084.0,76418.0,76418.0,60251,,0.0
2022-10-13,SAB,76418.0,79125.0,75585.0,79125.0,195652,,0.0348106099474395
2022-10-14,SAB,80375.0,80375.0,76627.0,78459.0,99304,,-0.0084526851121044
2022-10-17,SAB,77251.0,79042.0,76460.0,77085.0,66729,,-0.0176674862399332
2022-10-18,SAB,78875.0,79042.0,77168.0,79042.0,180310,,0.0250706476509025
2022-10-19,SAB,79125.0,79500.0,78501.0,79500.0,114130,,0.0057776648970809
2022-10-20,SAB,79125.0,79916.0,78792.0,79667.0,114473,,0.0020984256947798
2022-10-21,SAB,79750.0,81207.0,78875.0,80375.0,177745,,0.0088477352027173
2022-10-24,SAB,81624.0,84539.0,75377.0,75377.0,280026,,-0.0642009938657709
2022-10-25,SAB,76460.0,80166.0,76418.0,78209.0,252280,,0.0368825417510294
2022-10-26,SAB,80624.0,80624.0,77501.0,77501.0,150651,,-0.00909389094118
2022-10-27,SAB,77543.0,78667.0,76418.0,78251.0,222221,,0.0096307693894585
2022-10-28,SAB,79125.0,79375.0,77501.0,77501.0,85974,,-0.0096307693894585
2022-10-31,SAB,78501.0,78501.0,76002.0,77168.0,105734,,-0.0043059761752457
2022-11-01,SAB,77168.0,77834.0,76293.0,76460.0,170840,,-0.0092171350583492
2022-11-02,SAB,76460.0,76460.0,75002.0,76418.0,165031,,-0.0005494577513659
2022-11-03,SAB,76210.0,76210.0,75211.0,75794.0,63244,,-0.0081991366743736
2022-11-04,SAB,75794.0,77043.0,74544.0,75794.0,117653,,0.0
2022-11-07,SAB,75835.0,76627.0,75419.0,76627.0,196949,,0.0109303612151444
2022-11-08,SAB,76627.0,76710.0,76127.0,76210.0,169247,,-0.0054568073796454
